Time,Location,MaxTemperature,AvgTemperature,MinTemperature,MaxDewPoint,AvgDewPoint,MinDewPoint,MaxHumidity,AvgHumidity,MinHumidity,MaxWindspeed,AvgWindspeed,MinWindspeed
2021-1-1,HoChiMinh,86,77.3,73,63,61.2,61,65,57.2,45,12,7.3,5
2021-1-2,HoChiMinh,88,78.5,72,66,63.0,61,73,59.5,45,12,6.5,2
2021-1-3,HoChiMinh,90,80.5,72,73,67.9,63,83,67.0,46,7,4.1,0
2021-1-4,HoChiMinh,91,82.0,75,77,70.1,64,94,70.0,41,10,4.6,1
2021-1-5,HoChiMinh,90,81.6,75,77,71.5,66,89,72.3,46,9,4.0,1
2021-1-6,HoChiMinh,90,82.2,75,75,70.5,66,84,68.6,46,7,4.3,1
2021-1-7,HoChiMinh,93,82.8,75,75,70.2,61,94,68.5,34,10,3.9,0
2021-1-8,HoChiMinh,93,81.8,75,75,72.1,66,94,74.2,43,10,3.5,0
2021-1-9,HoChiMinh,91,81.0,73,70,64.9,61,78,59.6,36,9,4.3,1
2021-1-10,HoChiMinh,88,78.8,70,72,65.7,63,83,65.1,46,7,3.6,0
2021-1-11,HoChiMinh,90,79.6,72,72,64.4,61,83,61.8,38,10,4.5,1
2021-1-12,HoChiMinh,88,77.3,70,63,58.9,57,73,54.4,35,10,6.5,3
2021-1-13,HoChiMinh,82,74.0,66,66,60.2,57,78,63.0,45,9,4.5,1
2021-1-14,HoChiMinh,86,75.9,64,68,65.1,63,94,71.1,48,9,3.8,1
2021-1-15,HoChiMinh,88,77.8,70,70,65.8,61,100,68.6,43,12,4.3,0
2021-1-16,HoChiMinh,90,82.5,75,72,66.2,61,83,59.8,38,12,6.8,3
2021-1-17,HoChiMinh,90,79.3,72,70,63.7,57,94,62.0,33,13,6.3,1
2021-1-18,HoChiMinh,88,78.3,68,66,58.7,52,78,53.0,31,12,6.3,1
2021-1-19,HoChiMinh,82,75.1,68,68,60.7,55,83,61.4,48,9,4.0,0
2021-1-20,HoChiMinh,88,79.7,70,73,66.5,63,88,66.1,43,8,3.8,0
2021-1-21,HoChiMinh,90,81.0,75,75,70.6,64,94,74.0,43,10,5.3,1
2021-1-22,HoChiMinh,88,79.5,75,75,73.2,70,94,82.5,55,8,5.6,2
2021-1-23,HoChiMinh,90,80.7,75,75,72.3,64,100,77.7,43,14,4.7,0
2021-1-24,HoChiMinh,88,80.5,75,73,71.6,68,89,74.7,52,12,5.0,1
2021-1-25,HoChiMinh,90,80.5,75,75,72.2,70,94,76.8,52,13,4.3,0
2021-1-26,HoChiMinh,91,82.2,77,73,69.8,64,89,68.1,41,12,4.1,0
2021-1-27,HoChiMinh,91,81.6,75,73,70.6,66,89,70.2,46,10,4.8,0
2021-1-28,HoChiMinh,91,80.9,75,75,70.7,66,89,72.3,43,12,4.9,0
2021-1-29,HoChiMinh,91,80.7,73,70,63.6,57,78,58.2,31,9,4.9,2
2021-1-30,HoChiMinh,88,78.9,70,70,64.7,61,88,62.7,46,8,3.9,1
2021-1-31,HoChiMinh,93,81.0,75,72,68.0,61,83,66.3,34,13,4.4,1
2021-2-1,HoChiMinh,91,80.8,75,73,69.2,63,89,69.7,38,13,4.7,0
2021-2-2,HoChiMinh,91,80.0,73,72,66.2,59,94,64.8,36,12,5.4,1
2021-2-3,HoChiMinh,90,80.0,73,70,67.3,64,83,66.8,43,10,4.2,1
2021-2-4,HoChiMinh,93,81.1,70,72,66.0,61,89,62.4,34,9,3.7,1
2021-2-5,HoChiMinh,91,82.1,77,73,70.7,66,89,70.3,43,12,5.2,2
2021-2-6,HoChiMinh,91,81.5,75,73,70.4,64,89,70.3,43,12,4.1,0
2021-2-7,HoChiMinh,88,81.0,75,75,72.7,70,94,77.1,55,12,4.0,0
2021-2-8,HoChiMinh,90,79.4,73,75,73.4,72,100,83.3,55,10,5.1,1
2021-2-9,HoChiMinh,91,82.4,75,75,71.4,66,94,71.9,43,10,4.5,1
2021-2-10,HoChiMinh,90,82.1,77,75,72.6,68,89,74.2,52,9,4.5,0
2021-2-11,HoChiMinh,84,79.3,77,75,73.2,72,89,82.6,70,8,4.5,0
2021-2-12,HoChiMinh,90,79.5,75,73,70.4,64,89,74.6,46,13,4.9,0
2021-2-13,HoChiMinh,88,79.2,73,72,68.8,63,94,71.8,43,13,5.0,1
2021-2-14,HoChiMinh,86,77.3,73,70,68.6,64,88,75.0,48,13,6.6,1
2021-2-15,HoChiMinh,88,76.8,70,72,68.6,66,100,76.5,52,12,5.9,0
2021-2-16,HoChiMinh,88,77.8,72,70,67.8,61,94,73.2,40,15,7.8,1
2021-2-17,HoChiMinh,90,79.7,72,68,65.2,59,88,64.1,36,12,6.3,1
2021-2-18,HoChiMinh,88,79.2,68,70,64.0,55,94,61.7,33,9,3.1,0
2021-2-19,HoChiMinh,91,80.3,70,68,61.1,57,74,53.6,31,12,5.2,1
2021-2-20,HoChiMinh,91,80.3,72,68,60.7,46,78,54.5,21,10,4.6,1
2021-2-21,HoChiMinh,91,79.4,72,70,63.6,57,94,61.8,31,12,4.7,1
2021-2-22,HoChiMinh,88,78.5,73,70,66.3,63,88,67.8,43,14,6.7,0
2021-2-23,HoChiMinh,91,79.2,72,72,67.7,61,94,70.0,36,14,5.3,1
2021-2-24,HoChiMinh,90,80.0,75,72,70.1,68,89,72.5,49,13,6.6,3
2021-2-25,HoChiMinh,90,80.8,73,73,71.0,70,89,72.9,52,10,5.6,1
2021-2-26,HoChiMinh,91,82.0,77,75,73.0,70,89,76.3,49,10,6.5,2
2021-2-27,HoChiMinh,91,83.0,79,75,73.3,70,89,74.1,49,10,6.2,2
2021-2-28,HoChiMinh,93,83.2,77,75,71.7,68,89,69.8,46,15,9.2,5
2021-3-1,HoChiMinh,93,83.5,77,75,72.3,70,89,70.8,46,13,9.0,5
2021-3-2,HoChiMinh,93,83.8,77,75,72.7,70,89,71.1,49,14,8.3,5
2021-3-3,HoChiMinh,95,84.0,77,73,70.7,64,89,66.7,36,12,6.5,2
2021-3-4,HoChiMinh,97,84.9,77,72,68.6,64,83,60.2,34,14,9.2,5
2021-3-5,HoChiMinh,97,83.7,75,72,66.1,54,83,58.7,23,16,10.7,5
2021-3-6,HoChiMinh,95,83.7,73,73,67.5,61,88,60.5,32,13,6.7,1
2021-3-7,HoChiMinh,95,84.0,77,73,70.4,66,89,65.1,41,15,9.0,2
2021-3-8,HoChiMinh,95,84.7,77,73,67.3,57,89,58.4,28,13,6.4,1
2021-3-9,HoChiMinh,95,84.3,77,73,68.7,61,83,61.7,32,14,7.2,2
2021-3-10,HoChiMinh,95,84.5,77,72,68.3,59,83,60.0,30,13,5.8,2
